Name,Story,Genres,Certificate
The Terror,"Season1: In 1847-8, the crew of a real life Royal Naval expedition (later known as Franklin's expedition) led by three captains, Sir John Franklin, Francis Crozier and James Fitzjames, is sent to find the Arctic's fabled treacherous Northwest Passage but instead discovers a monstrous polar bear-like predator, a cunning and vicious Gothic horror that stalks the ships in a desperate game of survival. However, it soon becomes clear that that's just the beginning of their troubles. As things worsen and civilized behavior disintegrates in favor of survival at any cost, the crew must simultaneously battle the elements, the supernatural and eventually - themselves. The captains' only ally in all of this becomes a mute Inuit woman, who lives as an outcast from her tribe but still follows their old animistic religion. Season 2 (titled ""Infamy"") follows the inhabitants of the L.A.-based Terminal Island camp for Japanese Americans during WWII and a string of brutal deaths caused by a mysterious ...","Adventure ,Drama ,History ,Horror ,Thriller",TV-14
Harley Quinn,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City.","Animation ,Action ,Adventure ,Comedy ,Crime ,Fantasy ,Mystery",TV-MA
Brave New World,"In a utopia whose perfection hinges upon control of monogamy and privacy, members of the collective begin to question the rules, putting their regimented society on a collision course with forbidden love and revolution.","Drama ,Sci-Fi",TV-MA
Black-ish,"Dre Johnson (Anthony Anderson) has it all - a great job, beautiful wife Rainbow (Tracee Ellis Ross), four kids and a big home in a classy neighbourhood - but as a black man, he begins to question whether all his success has brought too much cultural assimilation for his family. With the help of his father (special guest star Laurence Fishburne), Dre begins to try to create a sense of ethnic identity for the members of his family that will allow them to honour their background while preparing them to embrace the future.",Comedy,TV-PG
Scorpion,"Based on the real life of Walter O'Brien, a genius with an IQ of 197. Walter is asked by Homeland Security to put together a special group of gifted individuals to troubleshoot the most difficult problems that the US & the world may encounter.","Action ,Crime ,Drama ,Thriller",TV-14
Manifest,"When Montego Air Flight 828 landed safely after a turbulent but routine flight, the crew and passengers were relieved. But in the span of those few hours, the world had aged five years - and their friends, families and colleagues, after mourning their loss, had given up hope and moved on. Now, faced with the impossible, they're all given a second chance. But as their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.","Drama ,Mystery ,Sci-Fi ,Thriller",TV-14
Law & Order: Criminal Intent,"This show centers on the NYPD's Major Case Squad (and the offbeat, Sherlock Holmes-like Detective Robert Goren) in its efforts to stop the worst criminal offenders in New York. It also puts a new twist to the ""Law & Order"" formula: now, in each episode, we see the crimes as they are planned and committed.","Crime ,Drama ,Mystery ,Thriller",TV-14
Madam Secretary,A political drama which looks into the life of the Secretary of State as she tries to balance work with family.,Drama,TV-PG
Agatha Christie's Marple,"Based on Dame Agatha Christie's crime novels and short stories, this show followed the adventures of Miss Jane Marple, an elderly spinster living in the quiet little village of St. Mary Mead. During her many visits to friends and relatives in other villages, Miss Marple often stumbles upon mysterious murders which she helps solve. Although the Police are sometimes reluctant to accept Miss Marple's help, her reputation and unparalleled powers of observation eventually win them over.","Crime ,Drama ,Mystery",TV-14
Legion,"Legion, based on the Marvel Comics by Chris Claremont and Bill Sienkiewicz, is the story of David Haller (Dan Stevens), a troubled young man who may be more than human. Diagnosed as schizophrenic as a child, David has been in and out of psychiatric hospitals for years. Now in his early 20's and free once again, David loses himself in the rhythm of the structured regimen of daily life: breakfast, lunch, dinner, therapy, medications, sleep. David spends the rest of his time in companionable silence alongside his chatterbox friend Lenny (Aubrey Plaza), a fellow patient whose life-long drug and alcohol addiction has done nothing to quell her boundless optimism that her luck is about to change. The pleasant numbness of David's routine is completely upended with the arrival of a beautiful and troubled new patient named Syd (Rachel Keller). Inexplicably drawn to one another, David and Syd share a startling encounter, after which David must confront the shocking possibility that the voices he...","Action ,Drama ,Sci-Fi ,Thriller",TV-MA
American Dad!,"Stan Smith, who works for the C.I.A. and is constantly on the alert for terrorist activity, will go to extremes to protect his beloved America from harm; as evidenced by the terror-alert color code on his fridge, and his frequent knee-jerk reaction of shooting holes in the toaster whenever the toast pops up. In addition to Stan's wife and teenage children, the Smith household has two rather unconventional members. There's Roger, the sarcastic space alien who rescued Stan from Area 51, who deeply resents the fact that he's not allowed to leave the house, and therefore, has been reduced to drinking wine and smoking cigarettes, and Klaus, a lascivious, German-speaking goldfish; the result of a C.I.A. experiment gone seriously wrong, where the C.I.A. tried to give a fish a German man's brain. Stan's son is a dorky teenager who tries to be cool. His wife has had a past life of sex and drugs.","Animation ,Comedy",TV-14
Warrior Nun,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo Bearer for a secret sect of demon-hunting nuns.","Action ,Drama ,Fantasy",TV-MA
The Good Fight,"Picking up one year after the events of the final broadcast episode of The Good Wife, an enormous financial scam has destroyed the reputation of a young lawyer, Maia Rindell, while simultaneously wiping out her mentor and godmother Diane Lockhart's savings. Forced out of Lockhart and Lee, they join Lucca Quinn at one of Chicago's preeminent law firms.","Crime ,Drama",TV-MA
Utopia,"A group of young adults, who meet online, get a hold of a cult underground graphic novel, which not only pins them as a target of a shadowy deep state organization, but also burdens them with the dangerous task of saving the world.","Action ,Drama ,Mystery ,Sci-Fi ,Thriller",TV-MA
Alias,"Sydney Bristow (Jennifer Garner) is a young, athletic, college graduate who was recruited her freshman year as a Secret Agent for SD-6, a top-secret branch of the C.I.A. After a few years, after Sydney confides her lifestyle to her boyfriend, the evil head of SD-6, Arvin Sloane (Ron Rifkin), has him killed. Sydney learns that SD-6 is part of a rogue international agency called the Alliance of 12, out to rule the world. She becomes a double agent, working with the real C.I.A. to bring down SD-6 with the assistance of her handler, Michael Vaughn (Michael Vartan), and her estranged father Jack Bristow (Victor Garber), also a double agent. Along the way, Sydney fights various rival agents, rival terrorist groups, and traitors all the while keeping her cloak-and-dagger lifestyle a secret from her friends (season one).","Action ,Drama ,Mystery ,Sci-Fi ,Thriller",TV-14
Grown-ish,"A contemporary take on the current issues facing both students and administrators in the world of higher education. Yara Shahidi portrays Zoey - Dre (Anthony Anderson) and Rainbow's (Tracee Ellis Ross) popular, entitled, stylish and socially active 17-year-old daughter - as she heads off to college and quickly discovers that not everything goes her way once she leaves the nest.",Comedy,TV-14
Hanna,"In equal parts high-concept thriller and coming-of-age drama, HANNA follows the journey of an extraordinary young girl raised in the forest, as she evades the relentless pursuit of an off-book CIA agent and tries to unearth the truth behind who she is.","Action ,Drama",TV-MA
Julie and the Phantoms,"Julie is a teenage girl who finds her passion for music and life with the help of a high -concept band of teen boys (The Phantoms) who have been dead for 25 years. Julie, in turn, helps them become the band they were never able to be.","Comedy ,Family ,Fantasy ,Musical",TV-G
Californication,"Hank Moody- a self loathing, narcissistic author struggles to overcome writer's block while balancing his occasional drug use, alcoholism, and borderline sex addiction all the while trying to get back together with his girlfriend and raise his teenage daughter.","Comedy ,Drama",TV-MA
Burn Notice,"Michael Westen, a seasoned U.S. spy, is suddenly ""burned"", i.e. discredited, without any form of procedure. He survives by doing impossible jobs for desperate people in Miami, where his mother lives. Michael is usually aided by his ex-girlfriend Fiona and trusted former FBI informer Sam.","Action ,Crime ,Drama ,Mystery ,Thriller",TV-PG
Rectify,Daniel Holden must put his life back together after serving 19 years on Georgia's Death Row before DNA evidence calls his conviction into question.,Drama,TV-14
Girls,"The assorted humiliations, disasters and rare triumphs of four very different twenty-something girls: Hannah, an aspiring writer; Marnie, an art gallery assistant and cousins Jessa and Shoshanna.","Comedy ,Drama",TV-MA
Van Helsing,"Van Helsing centers on Vanessa Helsing, the daughter of famous vampire hunter and Dracula nemesis Abraham Van Helsing. She is resurrected five years in the future to find out that vampires have taken over the world and that she possesses unique power over them. She is humanity's last hope to lead an offensive to take back what has been lost.","Action ,Drama ,Fantasy ,Horror",TV-14
Gravity Falls,"When Dipper and Mabel Pines get sent to their great-uncle Stan's shop in Gravity Falls, Oregon for the summer, they think it will be boring. But when Dipper find a strange journal in the woods, they learn some strange secrets about the town and its strange inhabitants.","Animation ,Adventure ,Comedy ,Drama ,Family ,Fantasy ,Horror ,Mystery ,Sci-Fi ,Thriller",TV-Y7
Mr. Mercedes,Tells the story of a psychopathic killer who drives a stolen Mercedes into a crowd and a recently retired detective who tries to bring him down.,"Mystery ,Sci-Fi ,Thriller",TV-MA
The Closer,"Deputy Police Chief Brenda Leigh Johnson, formerly Atlanta police officer and CIA-trained interrogator, is given the opportunity to run her own division of elite officers of the Los Angeles Police Department. Her unusual procedure for obtaining confessions, blatant disregard for politics, and southern accent make her a marked woman. However, with all the bluster and bravado, she still maintains her title, The Closer.","Crime ,Drama ,Mystery",TV-14
Adventure Time,"Prof. Simon Petrikoff is driven insane by an ancient magic crown the magic, which is the only thing that keeps him and his adopted demon daughter marceline alive after the human world is destroyed. 1000 years later a new world is formed a kingdom of candy run by a harsh ruler Bonnibel bubblegum and monsters and demons roam the lands. Finn and Jake two adventurers become great friends with Marceline, Bubblegum and Simon and they uncover secrets about their past as Finn (the last human) searches for that of his own. As the evil Lich resurfaces, Simon's time displaced fiance Betty goes insane and Finn's sentient grass arm becomes a conflicted volitle plant clone. Finn, Jake, Simon, Marceline and Bubblegum must do whatever they can to save the world from another apocalypse when Bonnibel's evil uncle declares war.","Animation ,Short ,Action ,Adventure ,Comedy ,Family ,Fantasy ,Sci-Fi",TV-PG
GLOW,"In Los Angeles in 1985, Ruth Wilder, a struggling actress, auditions along with many other women in a fledgling professional wrestling promotion called the Gorgeous Ladies of Wrestling (GLOW). Traditionally minded in her approach to acting and highly idealistic, she clashes with GLOW's director Sam Sylvia due to his cynical demeanor and often unconventional work style. She discovers early on that he has employed her former best friend, retired soap opera actress Debbie Eagan to star in the show. Ruth and Debbie had fallen out with one another after Ruth had an affair with her husband, Mark, who she then divorced. The tension between the two women promises either to make or break the developing show.","Comedy ,Drama ,Sport",TV-MA
The Neighborhood,"The Neighborhood stars Cedric the Entertainer in a comedy about what happens when the friendliest guy in the Midwest moves his family to a neighborhood in Los Angeles where not everyone looks like him or appreciates his extreme neighborliness. Dave Johnson is a good-natured, professional conflict negotiator. When his wife, Gemma, gets a job as a school principal in L.A., they move from Michigan with their young son, Grover, unfazed that their new dream home is located in a community quite different from their small town. Their opinionated next-door neighbor, Calvin Butler, is wary of the newcomers, certain that the Johnsons will disrupt the culture on the block. However, Calvin's gracious wife, Tina, rolls out the welcome wagon; their chipper younger son, Marty, thinks the Johnsons could be good for the community; and their unemployed older son, Malcolm, finds Dave may finally be someone who understands him. Dave realizes that fitting into their new community is more complex than he ...",Comedy,TV-PG
"Love, Death & Robots","Love, Death + Robots is a 5-time Emmy winning animation anthology series produced by Blur Studio. Launched in March of 2019 on Netflix, Love, Death + Robots delivers a variety of style and story unlike anything else, spanning the genres of science fiction, fantasy, comedy, horror, and more. Created by Tim Miller with David Fincher as executive producer, the series brings together a global team of directors and animation studios to push and expand the medium. Eighteen shorts in all, Love, Death + Robots has something for everyone.","Animation ,Short ,Comedy ,Fantasy ,Horror ,Sci-Fi",TV-MA
Marco Polo,"In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia.","Adventure ,Drama ,History",TV-MA
Love Life,"Anna Kendrick stars in a fresh take on a romantic comedy anthology series about the journey from first love to lasting love, and how the people we're with along the way make us into who we are when we finally end up with someone forever. With Zoë Chao, Peter Vack and Sasha Compere.","Comedy ,Romance",TV-MA
Messiah,"Messiah explores the lines among religion, faith and politics. It chronicles the modern world's reaction to a man who first appears in the Middle East creating a groundswell of followers around him claiming he is the Messiah. Is he sent from God or is he a dangerous fraud bent on dismantling the world's geopolitical order? The story unfolds from multiple points of view, including a young CIA agent, an Israeli Shin Bet officer, a Latino preacher and his Texan daughter, a Palestinian refugee and the media, among others.","Drama ,Mystery ,Thriller",TV-MA
2 Broke Girls,"Sassy, streetwise Max works two jobs just to get by, one of which is waiting tables during the night shift at the retro-hip Williamsburg Diner. Sophisticated Caroline is an uptown trust fund princess who's having a run of bad luck that forces her to reluctantly give waitressing a shot. At first, Max sees Caroline as yet another in a long line of inept servers she must cover for, but she's surprised to find that Caroline has as much substance as she does style. When Caroline discovers Max's knack for baking amazing cupcakes, she sees a lucrative future for them, but they first need to raise the start-up money.",Comedy,TV-14
Evil,"A skeptical female clinical psychologist joins a priest-in-training and a blue-collar contractor as they investigate supposed miracles, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural is at work.","Crime ,Drama ,Horror ,Mystery ,Thriller",TV-14
Hart of Dixie,"Fast-talking New Yorker and brand new doctor Zoe Hart has it all figured out - after graduating top of her class from medical school, she'll follow in her father's footsteps and become a cardio-thoracic surgeon. But when her dreams fall apart, Zoe decides to accept an offer from a stranger, Dr. Harley Wilkes, to work with him at his small practice in Bluebell, Alabama. Zoe arrives in this small Gulf Coast town only to find that Harley has passed away and left his half of the medical practice to her in his will.","Comedy ,Drama ,Romance",TV-PG
CSI: Miami,"Horatio Caine (David Caruso), a former homicide detective, heads a group of investigators who work crimes amid the steamy, tropical surroundings and cultural crossroads of Miami. His team includes Calleigh Duquesne (Emily Procter), a bilingual Southern beauty with a specialty in ballistics; Tim Speedle (Rory Cochrane), a cocky yet disarming investigator who is well connected on the street, and Eric Delko (Adam Rodriguez), an underwater recovery expert who knows all the twists and turns of the Florida waterways. Rounding out the team is Alexx Woods (Khandi Alexander), the no-nonsense, know-it-all coroner. And, after Speedle is killed in action, former Patrolman Ryan Wolfe (Jonathan Togo) joins the team. Together, these investigators collect and analyze the evidence to solve the crimes and to vindicate those who often cannot speak for themselves - the victims.","Action ,Crime ,Drama ,Mystery ,Thriller",TV-14
Modern Love,"An unlikely friendship. A lost love resurfaced. A marriage at its turning point. A date that might not have been a date. An unconventional new family. These are unique stories about the joys and tribulations of love, each inspired by a real-life personal essay from the beloved New York Times column ""Modern Love.""","Comedy ,Romance",TV-MA
iZombie,"Liv Moore, a medical student, gets invited in a party which turns into a macabre zombie arena. Liv wakes up from the dead and becomes a zombie. For maintaining her humanity she must eat human brains so she began working in coroner's office to access brains. Eating a brain gives her memories and traits of that person. So she helps detective Clive Babineaux to solve the murder as a psychic.","Comedy ,Crime ,Drama ,Horror",TV-14
Good Witch,"""Good Witch"" will take viewers on a new magical journey with Cassie Nightingale and her daughter Grace. When Dr. Sam Radford moves in next door to Grey House with his son, they are charmed by the 'magical' mother-daughter duo.","Comedy ,Drama ,Fantasy",TV-PG
The Newsroom,"A news team attempts to create a news show that reports the news in an ethical and reasonable way. They take real, newsworthy events from our world as they're happening (such as bin Laden's justified killing, NSA spying, etc) and report on them as if they were an actual news station that followed rational and moral guidelines, in a biting criticism of our popular press and a clever blurring of art and reality.",Drama,TV-MA
Lethal Weapon,A slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life.,"Action ,Comedy ,Crime ,Drama ,Thriller",TV-14
Into the Badlands,"Regent Sunny, a highly-skilled fighter and the deadliest ""Head Clipper"" for Baron Quinn battles the Nomads to rescue a mysterious boy named M.K. who harbors a dark secret about his past. But when he brings him back to The Fort to train as a ""Colt"", a Clipper-in-training, things quickly get out of hand with another trainee. When first blood is drawn, M.K. loses control of himself as if something takes over his body, making the boy valuable to an opposing baron, The Widow. Meanwhile, Sunny discovers M.K.'s pendant has the same image as the one on his childhood compass of a place called Azra, the boy's home. In order to seek out the truth about his own past, Sunny wants to know more of this city beyond the Badlands, and must find a way out, especially now that his lover Veil is illegally pregnant with his child.","Action ,Adventure ,Drama",TV-14
Halt and Catch Fire,"Set in the 1980s, this series dramatizes the personal computing boom through the eyes of a visionary, an engineer and a prodigy whose innovations directly confront the corporate behemoths of the time. Their personal and professional partnership will be challenged by greed and ego while charting the changing culture in Texas' Silicon Prairie.",Drama,TV-14
Agent Carter,"The war is over and almost everyone has experienced a loss. Agent Peggy Carter has lost the love of her life. To top it off, when billionaire Howard Stark is accused of Treason, he secretly employs her to clear his name. With the help of Stark's butler, she embarks on a whimsical journey full of deceit, murder and controversy with a side of wise-cracking roommates.","Action ,Adventure ,Sci-Fi",TV-PG
I May Destroy You,"The question of sexual consent in contemporary life and how, in the new landscape of dating and relationships, we make the distinction between liberation and exploitation.",Drama,TV-MA
Iron Fist,"Danny Rand returns to New York City after being missing for years, trying to reconnect with his past and his family legacy. He fights against the criminal element corrupting his world around him with his incredible kung-fu mastery and ability to summon the awesome power of the fiery Iron Fist.","Action ,Adventure ,Crime ,Fantasy ,Sci-Fi",TV-MA
Timeless,"Timeless tells the story of a mysterious criminal who steals a secret state-of-the-art time machine, intent on destroying America as we know it by changing the past. The only hope is an unexpected team: a scientist, a soldier and a history professor, who must use the machine's prototype to travel back in time to critical events. While they must make every effort not to affect the past themselves, they must also stay one step ahead of this dangerous fugitive. But can this handpicked team uncover the mystery behind it all and end his destruction before it's too late?","Action ,Adventure ,Drama ,Sci-Fi",TV-14
Leverage,"Former insurance claims investigator Nathan Ford heads a team of former top-criminals. They handle 'unorthodox' cases of people unlikely to get their due through regular channels and legal procedures. That often involves stinging or otherwise scamming criminals. Nate's team is altered at times, and his professional as well as personal past repeatedly seems to catch up.","Crime ,Mystery ,Thriller",TV-PG
Saved by the Bell,"A follow-up series to the 1990s sitcom. A group of California low-income high school students are transferred to Pacific Palisades' wealthy Bayside High, following a program by California Governor Zack Morris.",Comedy,TV-14
Dirty John,"Debra Newell (Connie Britton) has a seemingly perfect life: she's successful, beautiful and lives in one of California's most desirable coastal cities, Newport Beach. The only thing missing is love. So when she finally meets charming and handsome doctor John Meehan (Eric Bana), she's quickly swept into a whirlwind romance, much to the dismay of her daughters Terra (Julia Garner) and Veronica (Juno Temple). Their fast-tracked relationship creates tension between Debra and the girls, leaving them no choice but to investigate the stranger who has swept their mother off her feet. And with a fraught family history, the backstory of Debra and her mother Arlane (Jean Smart) provides insight into why she may have been so vulnerable to John in the first place. As Debra gets drawn deeper into his lies and sinister game of psychological manipulation, it results in horrific consequences for an entire family.","Crime ,Drama",TV-14
Mayans M.C.,"Set in a post-Jax Teller world, ""Mayans MC"" sees EZ Reyes, a former golden boy now fresh out of prison, as a prospect in the Mayan MC charter on the California-Mexico border who must carve out his new outlaw identity.","Crime ,Drama ,Thriller",TV-MA
The Walking Dead: World Beyond,The series will focus on the first generation to grow up during the zombie apocalypse.,"Drama ,Horror ,Sci-Fi",TV-14
Black Lightning,"Jefferson Pierce has made his choice. He hung up the suit and his secret identity years ago, but with a daughter hell-bent on justice and a star student being recruited by a local gang, he'll be pulled back into the fight as the wanted vigilante and DC legend: Black Lightning.","Action ,Drama ,Sci-Fi",TV-14
The Right Stuff,"U.S. fighter pilots are recruited to test experimental aircraft and rockets to become first Mercury astronauts. TV adaptation of Tom Wolfe's book, 'The Right Stuff'.","Drama ,History",TV-14
Victorious,"Life is about to change in a big way for 16-year-old Tori Vega. After years of living in her older sister's shadow, Tori has been invited to attend Hollywood Arts, a high school with a focus on the performing arts. While the invitation came as a surprise -- she's never thought of herself as particularly talented -- and she still has to deal with being the new kid on campus, Hollywood Arts may just give Tori her chance to shine.","Comedy ,Drama ,Family ,Music ,Romance",TV-GT
Below Deck,Follows the crew of a multi million dollar charter boat in the Caribbean.,Reality-TV,TV-14
Siren,"Siren takes us inside Bristol Cove - a coastal town known for its legend of once being home to mermaids. When the arrival of a mysterious girl proves this folklore all too true, the battle between man and sea takes a very vicious turn as these predatory beings return to reclaim their right to the ocean.","Drama ,Fantasy",TV-PG
Harlots,"Margaret Wells struggles to reconcile her roles as brothel owner and mother to her daughters. When her business comes under attack from a rival madam with a ruthless streak, Margaret must fight back even if it means losing her family and possibly her life.",Drama,TV-MA
Reno 911!,"The lives of seven incompetent Reno sheriff's deputies are detailed in this ""Cops"" style parody. Among the colorful characters are Lt. Jim Dangle, the short shorts-wearing, flamboyantly gay supervisor; Deputy James Garcia, who makes police brutality an art form; Deputy Trudy Wiegel, the manic depressive, socially awkward officer; Deputy Clementine Johnson, the skanky former magician's assistant; Deputy Travis Junior, the redneck who is never seen without his kevlar vest and sunglasses; Deputy S. Jones, the semi-competent ladies' man; and Deputy Raineesha Williams, the bootylicious black cop with an attitude.","Comedy ,Crime",TV-14
Space Force,The people tasked with creating a sixth branch of the armed services: The Space Force.,Comedy,TV-MA
Britannia,"In 43 AD, the Roman Army - determined and terrified in equal measure - returns to crush the Celtic heart of Britannia - a mysterious land ruled by warrior women and powerful druids who can channel the powerful forces of the underworld. Or so they say.","Action ,Drama ,Fantasy",TV-MA
Miracle Workers,"The first season of anthology series Miracle Workers will be a Heaven-set workplace comedy based on Simon Rich's book ""What in God's Name"", starring Daniel Radcliffe, Steve Buscemi, Geraldine Viswanathan, and Karan Soni. Radcliffe will play Craig, a low-level angel responsible for handling all of humanity's prayers, and Steve Buscemi will play Craig's boss God, who has pretty much checked out and is ready to move on to his next project. To prevent Earth's destruction, Craig and fellow angel Eliza (Geraldine Viswanathan) must answer a seemingly unanswerable prayer: help two humans fall in love. 'Miracle Workers' is created by 'Man Seeking Woman' creator Simon Rich and executive produced by Lorne Michaels and Andrew Singer of Michaels' Broadway Video, Simon Rich, Daniel Radcliffe and Steve Buscemi. Broadway Video produces the series in association with Turner's Studio T.","Comedy ,Drama ,Fantasy ,Romance",TV-14
Mythic Quest: Raven's Banquet,The owner of a successful video game design company and his troubled staff struggle to keep their hit game 'Mythic Quest' on top.,Comedy,TV-MA
The Outpost,"Talon, the lone survivor of the Blackbloods, sets off to track her family's killers, and discovers her supernatural powers, which she must learn to harness.","Action ,Adventure ,Drama ,Fantasy",TV-14
Pose,"Set in the 1980s, 'Pose' is a dance musical that explores the juxtaposition of several segments of life and society in New York: the ball culture world, the rise of the luxury Trump-era universe, and the downtown social and literary scene. Blanca forms a 'house', a self-selected family that provides support to LGBTQ youth who have been rejected by their birth families. Damon is a dancer who joins Blanca's house. Together, they compete in the balls -- where house members challenge each other in various categories and are judged on their outfits, attitude, or dance skills -- against Blanca's former house mother, Elektra. Pray Tell is Godfather to the children who compete in the balls. Angel is a streetwalker who develops feelings for a new client, Stan, who has a loving wife, Patty. James Van Der Beek co-stars as Stan's boss, Matt.",Drama,TV-MA
A Series of Unfortunate Events,"After the Baudelaire parents die in a terrible fire, the Baudelaire orphans search for their families secrets and get them and their fortune away from the terrible grasp of the sinister Count Olaf as he moves with them between different guardians in disguise.","Adventure ,Comedy ,Drama ,Family ,Mystery",TV-PG
The Kominsky Method,"Michael Douglas plays an actor who made it big a long time ago and who now is an acting coach at his studio named after himself, ""The Kominsky Method."" His best friend and agent loses his wife to cancer, which leaves both of them questioning their existence as they struggle through choices and relationships, old and new. As Kominsky teaches a class to actors he meets a woman whom he has deep feelings for, but lacks the skills to make a relationship work. Meanwhile his agent struggles with the pain of his wife's death and a drug addicted daughter. Throughout the series it becomes clear that their advanced age has challenges that neither one knows how to overcome, and as they keep onboard this train of life, which is closer to death then ever before, they learn to navigate their way through pain and character growth and set backs.","Comedy ,Drama",TV-MA
Warehouse 13,"After saving the life of the President in Washington D.C., a pair of U.S Secret Service agents are whisked away to a covert location in South Dakota that houses supernatural objects that the Regents, an Authority above and outside any government, have collected over the centuries. Their new assignment: retrieve lost objects called ""Artifacts"", seemingly harmless items that can possess immense power, and investigate reports of new ones.","Drama ,Mystery ,Sci-Fi ,Thriller",TV-14
Counterpart,"Counterpart is about a mysterious world hidden beneath the surface of our everyday existence. Howard Silk is a lowly cog in the bureaucratic machinery of a Berlin-based United Nations spy agency. When Howard discovers that his organization safeguards the secret of a crossing into a parallel dimension, he is thrust into a shadow world of intrigue, danger, and double cross - where the only man he can trust is his near-identical counterpart from this parallel world. The show explores themes of identity, fate and lost love, posing the eternal question, ""what if our lives could have been different?""","Drama ,Sci-Fi ,Thriller",TV-MA
Ballers,"Ballers is a half-hour comedy series starring Dwayne ""The Rock"" Johnson. Looking at the lives of former and current football players, the show follows former superstar Spencer Strasmore as he gets his life on track in retirement while mentoring other current and former players through the daily grind of the business of football.","Comedy ,Drama ,Sport",TV-MA
Alex Rider,"When Alex Rider learns that his uncle Ian has been killed in the line of duty as a British spy - and not in a car accident like he's been told - everything changes for this otherwise normal teen. He is approached by Alan Blunt, head of a shadowy offshoot of MI6 known as The Department, who reveals that Alex has been unknowingly trained since childhood for the dangerous world of espionage. Pressured to help investigate his uncle's death - and how it connects to the assassination of two high-profile billionaires - Alex reluctantly assumes a new identity and goes undercover in a remote boarding school called Point Blanc. Isolated far above the snowline in the French Alps, Point Blanc claims to set the troubled teenage children of the ultra-rich back onto the right track. But as he digs deeper, Alex discovers that the students are in fact the subjects of a disturbing plan by the mysterious Doctor Greif - a plan which he will have to risk his life to stop.","Action ,Adventure ,Family ,Thriller",TV-14
Runaways,"Follows a group of six teenagers in the Marvel universe - Nico Minoru, Karolina Dean, Molly Hernandez, Chase Stein, Alex Wilder, and Gertrude Yorkes - who discover that their parents are secretly members of a super-villain cabal called The Pride. After deciding they're no longer safe in their own homes, the kids go on the run. In the midst of hiding from their elders, the teens learn about themselves and become a family of their own.","Action ,Drama ,Sci-Fi",TV-14
Boston Legal,"Ethically-challenged attorney Alan Shore, formerly of Young, Frutt & Berluti, settles in at a wealthy and powerful firm focusing on civil cases. With some help from his friend and mentor, veteran attorney Denny Crane, Shore quickly makes his mark winning cases no one would take, often using less than honest methods. In doing so, he develops a rival in his colleague Brad Chase, who has been assigned to the office partly to keep an eye on the increasingly eccentric (and possibly senile) Denny Crane. Though his questionable conduct might make him a few enemies along the way, Alan's not one to be underestimated, nor will he let trivial things like honesty or integrity get in the way of winning a case.","Comedy ,Crime ,Drama",TV-14
The Deuce,"Based in 1970s New York, this show gives a raw and gritty portayal of the prostitution business that was so publicly executed at that time. As a result of police crack-down, the characters are forced to venture towards relatively safer and more discrete forms of the same work.",Drama,TV-MA
Quantico,A look at the lives of young FBI recruits training at the Quantico base in Virginia when one of them is suspected of being a sleeper terrorist.,"Crime ,Drama ,Mystery ,Thriller",TV-14
The Missing,"""The Missing"" follows Tony, played by James Nesbitt, as a man devastated by the abduction of his young son, Oliver, during a family vacation in France. He becomes a man obsessed, unable to accept that his child may be dead and spends years searching for him. Tony's exhaustive search fractures his marriage to Emily, played by Frances O' Connor and threatens to destroy his life. Tcheky Karyo plays Julien, the French police detective who launched the initial search for the child. Even though he is retired in present day, he too cannot shake the small belief that the child may still be alive. Told using a fascinating narrative puzzle, ""The Missing"" explores the impact of a child's abduction, the emotional cost of obsession, hope and finding when to let go. This gripping thriller is told simultaneously over multiple time frames and set in France and London.","Crime ,Drama ,Mystery",TV-14
The Grand Tour,"Follow Jeremy, Richard, and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.","Comedy ,Talk-Show",TV-14
Bunk'd,"Emma, Ravi, and Zuri Ross head off to a rustic summer camp in Maine, where their parents met as teens. Along with their new friends, love triangle, and the fears of the camp, the trio tries their best to settle into their exciting and challenging new lives at Camp Kikiwaka.","Comedy ,Family",TV-G
Why Women Kill,"Why Women Kill details the lives of three women living in three different decades: a housewife in the '60s, a socialite in the '80s, and a lawyer in 2019, each dealing with infidelity in their marriages. The series examines how the roles of women have changed, but how their reaction to betrayal - has not.","Comedy ,Crime ,Drama",TV-MA
TURN,"This drama follows Long Island farmer Abe Woodhull, who bands together a group of childhood friends to form The Culper Ring, an unlikely group of spies who turn the tide in America's fight for independence.","Drama ,History ,War",TV-14
Spinning Out,"A figure skating Olympic hopeful's struggle to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.","Drama ,Sport",TV-MA
Castlevania,"When Lisa Tepes, beloved wife of Vlad Tepes AKA Dracula is acused of witchcraft and burned at the stake by an overzealous bishop, Dracula declares war on the people of Wallachia and unleashes an army of murderous demonic creatures from hell. Luckily, Trevor Belmont, last survivor of the Belmont clan, a disgraced family known for hunting all kinds of monsters, is still in town and agrees to take the fight to the lord of vampires.","Animation ,Action ,Adventure ,Fantasy ,Horror",TV-MA
