,Title
1242,Sonho de Amor
1243,Adeus às Armas
1244,Le sérum de bonté
1245,Seu Quequé
1246,The Rebel Heiress
1247,Jie lian huan
1248,Metamorphosis
1249,Iaiá Garcia
1250,Aventuras de Huck
1251,A Cabeçuda
1252,Mehalah
1253,The Ambermere Treasure
1254,Bibliothèque verte
1255,Het veenmysterie
1256,The Cornwalls Are Gone
1257,Helena
1258,Parlor Games
1259,As Cinco Panelas de Ouro
1260,Clarissa
1261,Eu Compro Esta Mulher
1262,Luz da Esperança
1263,Corazón salvaje
1264,Aud the Deepminded
1265,Candelabros
1266,Justice de femmes
1267,Os irmãos Corsos
1268,Os irmãos Dombey
1269,Coração Inquieto
1270,La piedad peligrosa
1271,Society of Supernatural Sleuths
1272,Une fille du régent
1273,A Moreninha
1274,Un certain Richard Dorian
1275,Kater Mikesch
1276,Olhai os Lírios do Campo
1277,Welfy Q
1278,Éramos Seis
1279,Éramos Seis
1280,Onkel Silas
1281,Lucía Bonelli
1282,Arhaia skouria
1283,I aperigrapti
1284,Helena
1285,The Civilian
1286,Amor en el desierto
1287,Die Opodeldoks
1288,Akrivi mou Sofia
1289,Sublime Obsessão
1290,Os irmãos Corsos
1291,Gil Blas de Santillane
1292,O Ébrio
1293,Flor de durazno
1294,Das Burggespenst Lülü
1295,Whiskey Creek
1296,El otro
1297,Primavera
1298,A Ilha do Tesouro
1299,Diva
1300,Bolletje en Bonestaak
1301,De reis om de wereld in 80 dagen
1302,O Pequeno Lorde
1303,En famille
1304,Friends of the ABC
1305,Jianzhen Dongdu
1306,Senhora
1307,Mi amor por ti
1308,O Cavaleiro de Pardaillan
1309,The Hemingway Files
1310,Floradas na Serra
